Title,keywords,Python,salary,R,SQL,Place
Data Analyst,"(['R', 'python'], ['access'], ['SQL', 'Tableau', 'Power BI'])",0,60000.0,0,0,"New York, NY"
Data Analyst,,0,,0,1,"Houston, TX"
Data Analyst,"(['Python', 'R'], ['Agile', 'SQL', 'ETL'])",0,,0,0,"Blue Ash, OH"
Data Analyst,"(['R', 'Python'], ['AWS'], ['SQL', 'Google Sheets', 'Looker', 'Tableau', 'Power BI'])",0,55000.0,0,0,United States
Data Analyst - Bank Operations - Remote,"(['Python'], ['SQL', 'Power BI', 'Google Analytics', 'Sigma', 'Jira', 'Confluence', 'Looker', 'Tableau'])",0,,0,0,United States
Senior Observability Engineer,"(['Python'], ['AWS'], ['agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Staff Cloud Developer,"(['Python'], ['GCP', 'AWS'], ['Git', 'API', 'Docker', 'agile', 'Scrum'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Software Developer, Escalations","(['C++'], ['JIRA', 'Confluence', 'Git'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Principal Performance Engineer,"(['Java'], ['PostgreSQL', 'Redis'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Firmware Engineers and Archtiects,"(['C++', 'Matlab', 'Python'],)",0,,0,1,"Canada, Moyen-Chari, Chad"
Staff Software Developer,"(['JavaScript'], ['MongoDB', 'snowflake'], ['agile', 'Scrum', 'SQL'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Software Engineer, Java Database Experience","(['Java', 'Scala'], ['MongoDB'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Senior Software Engineer I - Market Research Solutions,"(['Python'], ['AWS'], ['agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Principal Software Developer - Awareness Training, Full Stack","(['Java', 'JavaScript'], ['Agile', 'scrum'])",0,,0,1,"Canada, Moyen-Chari, Chad"
"Senior Software Engineer, Java Database Experience","(['Java', 'Scala'], ['MongoDB'], ['agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Data Analyst,"(['R', 'Python'], ['access'], ['SQL'])",1,110000.0,0,0,"Seattle, WA "
Data Analyst - Tiktok Ads,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA "
Data Analyst - Remote,"(['SQL', 'Power BI', 'Tableau', 'ETL'],)",0,95000.0,0,0,"Bellevue, WA"
Data Analyst II,"(['Python'], ['SQL', 'Tableau', 'pandas'])",0,133000.0,0,1,"Seattle, WA"
Data Analyst,"(['Python'], ['Snowflake'], ['SQL', 'Power BI', 'Tableau'])",0,97500.0,0,0,"Bellevue, WA"
Data Analyst,"(['SQL'],)",0,,0,1,Greater Seattle Area
Data Analyst,"(['Python'], ['SQL', 'sklearn'])",0,139000.0,0,0,"Seattle, WA "
"Data Analyst (Power BI, SQL)","(['SQL Server'], ['Power BI', 'SQL'])",0,,0,1,"Redmond, WA"
"operations and data analyst, AP Analysis - Seattle, WA","(['Oracle', 'Access'], ['SQL', 'Tableau', 'PowerPoint'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['Google Meet'], ['SQL', 'Tableau', 'Mixpanel', 'Github'])",1,,0,0,Greater Seattle Area
Data Analyst III,"(['Power BI', 'Tableau', 'PowerPoint'],)",0,,0,0,"Redmond, WA"
Marketing Data Analyst,"(['VBA'], ['Power BI', 'PowerPoint', 'Tableau'])",0,80000.0,0,0,"Seattle, WA "
Data Analyst - Tiktok Ads and Monetization Products,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA "
Data Analyst,"(['MATLAB'],)",0,,0,1,"Seattle, WA"
Data Analyst,"(['Python'], ['SQL'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['Python', 'Java'], ['Microsoft Azure', 'Amazon Web Services'], ['Numpy', 'Scikit learn', 'Plotly', 'TensorFLow', 'Tableau'])",0,,0,0,"Seattle, WA"
Data Analyst – Commercial Construction,"(['Tableau'],)",0,105000.0,0,0,"Seattle, WA"
Onboarding Data Analyst,"(['SQL', 'Looker'],)",0,67500.0,0,0,"Seattle, WA "
"Data Analyst, TikTok Commerce Anti-Fraud Solutions","(['R', 'Python'], ['SQL', 'SAS'])",0,,0,1,"Seattle, WA "
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"Redmond, WA"
Sustainability Data Analyst,"(['mode'],)",1,,0,0,"Seattle, WA "
Data Engineer Internship – 2023 (US),"(['Python', 'Scala'], ['AWS'], ['SQL', 'ETL', 'QuickSight', 'Tableau'])",0,10000.0,1,0,"Seattle, WA"
Data Visualization Specialist,"(['DAX'], ['Snowflake'], ['SQL', 'Power BI'])",0,80000.0,0,0,"Seattle, WA"
Data Analyst II,"(['R'], ['Microsoft SQL Server', 'access'], ['Tableau', 'SQL'])",0,92500.0,0,0,"Seattle, WA"
Data Analyst 3 - Fraud Strategy - Remote,"(['R', 'Python'], ['SAS', 'SQL'])",0,89000.0,0,1,"Seattle, WA"
Data Analyst - Tiktok Ads and Monetization Products,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,1,0,"Seattle, WA "
"Analyst, Analytics",,1,45000.0,0,0,"Seattle, WA"
data analyst,"(['Python'], ['AWS'], ['Tableau', 'SQL'])",0,,0,0,"Bellevue, WA"
Part-Time Data Entry Analyst - Solvas Financial Technology,"(['Microsoft Teams'],)",0,,0,1,"Seattle, WA"
Senior Data Analyst,"(['Python', 'R'], ['AWS'], ['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA"
DATA ANALYST 2,"(['SQL Server', 'access'], ['SSRS', 'SQL'])",0,,0,0,"Seattle, WA"
Lead Data Analyst,"(['Python'], ['SQL', 'Tableau', 'Power BI', 'API', 'ETL'])",0,,0,0,"Seattle, WA"
Data Analyst - Senior,"(['Python'], ['pandas', 'matplotlib'])",1,,0,0,"Tacoma, WA"
Data Labelling Analyst (Remote),,0,,0,1,"Seattle, WA "
Data Analyst,"(['Microsoft Azure', 'Azure Data Lake'], ['SQL Server'], ['Power BI', 'SSIS'])",0,,0,0,"Redmond, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,1,"Redmond, WA"
Digital Analytics Analyst (Hybrid),"(['agile', 'Google Analytics'],)",0,87000.0,0,0,"Seattle, WA"
UX Data Analyst,"(['Python', 'R'], ['SQL'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['Agile', 'SQL', 'ETL'],)",0,,1,0,"Bellevue, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",1,,0,0,"Redmond, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,1,"Redmond, WA"
Data Analyst/Data Scientist,"(['access'], ['SQL', 'Google Sheets'])",0,120000.0,0,0,"Seattle, WA"
Marketing Data Analyst,"(['Google Analytics', 'Tableau', 'API', 'SQL'],)",0,,0,0,"Kent, WA "
Data Analyst,"(['access'],)",1,70000.0,0,0,"Kent, WA"
Healthcare Data Analyst,,0,,1,0,"Bellevue, WA"
Principal Data Analyst,"(['access', 'Snowflake'], ['SQL', 'Looker', 'dbt', 'Salesforce'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,1,"Redmond, WA"
Healthcare Data Analyst II,"(['Python', 'VBA'], ['SQL', 'Power BI', 'Tableau'])",0,65000.0,0,0,"Mountlake Terrace, WA"
Language Data Analyst,"(['Python', 'R'], ['SQL', 'GitHub'])",0,,1,0,"Seattle, WA"
Principal Data Analyst,"(['access', 'Snowflake'], ['SQL', 'Looker', 'dbt', 'Salesforce'])",1,,0,0,"Seattle, WA"
Data Analyst,"(['R', 'Python'], ['SQL', 'Tableau', 'Looker'])",0,152500.0,0,0,"San Francisco, CA"
Data Analyst II,"(['Python'], ['access'], ['SQL', 'Tableau', 'pandas'])",0,133000.0,0,1,"San Francisco, CA"
Data Analyst,"(['Python'], ['MySQL', 'SQL Server'], ['SQL', 'Transformers', 'Tensorflow', 'PyTorch', 'spaCy', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['access'], ['SQL'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['SQL', 'Mode'],)",0,,0,0,"San Francisco, CA"
Entry Level Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,0,"San Francisco, CA "
Marketing Data Analyst and Research,,1,102500.0,0,0,"San Francisco, CA"
Data Analyst,"(['Python'], ['git', 'Github', 'SQL', 'Pandas', 'Numpy'])",0,,0,1,"San Francisco, CA"
Data Analyst,"(['SQL'],)",0,,0,0,"San Francisco, CA"
"Data Analyst, Product","(['R', 'Python'], ['SQL', 'Tableau', 'Looker'])",0,152500.0,0,0,"San Francisco, CA"
Business Data Analyst,"(['Python', 'R'], ['AWS'], ['Snowflake'], ['PowerPoint', 'Tableau', 'Power BI', 'SQL', 'Google Analytics', 'Airflow', 'ETL'])",0,,0,0,"San Mateo, CA "
Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['R'], ['SQL', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java'], ['Microsoft Azure', 'Amazon Web Services'], ['Numpy', 'Scikit learn', 'Plotly', 'TensorFLow', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java', 'Scala', 'R'], ['Hive', 'CouchBase', 'HBase', 'Cassandra', 'MongoDB'], ['SQL', 'SPSS', 'SAS', 'Tableau', 'QlikView'])",1,,0,0,"San Francisco, CA"
Data Analyst,"(['Oracle'], ['SQL', 'PowerPoint'])",0,,0,0,"San Ramon, CA"
Data Analyst - Strategy & Biz Ops,"(['Python', 'R'], ['ETL', 'Power BI', 'Tableau', 'SQL'])",1,125500.0,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst 2,"(['Access'], ['ETL', 'SAS', 'SQL'])",0,,0,0,"San Francisco, CA"
"Analyst, Analytics",,0,45000.0,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java', 'Scala', 'R'], ['MySQL'], ['Google Sheets', 'SQL', 'Tableau', 'Looker'])",0,87500.0,0,0,"New York, NY"
Data Analyst,"(['Python'], ['Snowflake'], ['SQL', 'SAP', 'Agile', 'Scrum', 'Alteryx', 'Airflow'])",0,,0,0,United States
Data Analyst,"(['R', 'Python'], ['AWS'], ['Tableau', 'SQL', 'agile'])",0,,0,0,Washington DC-Baltimore Area 
Data Analyst,"(['R', 'Python', 'Julia'], ['SQL Server', 'access'], ['agile', 'SQL', 'NumPy', 'pandas', 'API'])",0,75000.0,0,0,"El Segundo, CA "
Data Analyst,"(['SQL', 'power BI', 'Mixpanel', 'PowerPoint', 'mode'],)",0,,0,0,"Irving, TX"
"Data Analyst (Power BI, SQL)","(['SQL Server'], ['Power BI', 'SQL'])",0,,0,0,"Redmond, WA"
Data Analyst,"(['AWS'], ['Redshift', 'MySQL', 'Access'], ['SQL', 'ETL', 'SSIS', 'Tableau', 'Agile', 'Scrum', 'JIRA'])",0,,0,0,Los Angeles Metropolitan Area
Data Analyst,"(['Python', 'R'], ['GIS', 'SQL'])",0,,0,0,"Chicago, IL"
Data Analyst,"(['Python'], ['AWS'], ['SQL', 'Tableau', 'Google Sheets'])",0,87500.0,0,0,"Englewood, CO "
Data Analyst,"(['Python'], ['Power BI', 'Scrum', 'SQL', 'SAP', 'Agile'])",0,,0,0,"Charlotte, NC "
Data Analyst,"(['SQL'],)",0,,0,0,"Orlando, FL"
Data Analyst,"(['microsoft teams'], ['SAP', 'ETL', 'SQL'])",0,,0,0,Greater Minneapolis-St. Paul Area
Data Analyst,"(['Tableau'],)",0,,0,0,"Chicago, IL"
Data Analyst,"(['Python', 'R'], ['Power BI', 'Tableau', 'SQL', 'Google Analytics', 'SAS'])",1,,0,0,"Dallas, TX "
Data Analyst-Entry level.,,0,,0,0,"Pleasanton, CA"
Data Analyst,"(['SQL', 'SSRS'],)",0,,0,0,"Conroe, TX"
Data Analyst,,0,,0,0,"Newton, MA"
Data Analyst,"(['Python'], ['access'], ['SQL', 'PowerPoint', 'Tableau', 'agile'])",0,,0,0,"Weehawken, NJ"
Data Analyst,"(['Oracle'], ['SQL'])",0,,0,1,United States
Data Analyst,"(['JavaScript', 'Python', 'R'], ['SQL', 'ETL', 'Tableau', 'SPSS', 'SAS', 'Power BI'])",0,,0,0,"Modesto, CA "
Data Analyst,"(['R'], ['SQL Server'], ['Shiny'])",0,,0,0,"Camden, NJ"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,Los Angeles Metropolitan Area
Data Analyst,"(['Salesforce', 'Tableau'],)",1,,0,0,United States
Data Analyst,"(['Python'], ['Looker', 'Power BI', 'SQL'])",0,100000.0,0,0,United States 
Data Analyst,"(['Python', 'R'], ['Jira', 'jira', 'SQL', 'Tableau', 'Google Analytics'])",0,,0,0,"Cary, NC"
Data Analyst,"(['access'], ['GitHub', 'Mode'])",0,,0,0,"Portland, Oregon Metropolitan Area "
Data Analyst (part-time),"(['R'], ['Google Sheets'])",0,,0,0,United States
Data Analyst,"(['python', 'DAX'], ['Power BI', 'SQL'])",0,,0,0,"St Charles, IL "
Data Analyst,"(['Oracle'], ['ETL', 'SQL', 'Looker'])",0,,0,0,"Charlotte, NC"
Data Analyst,"(['Python'], ['AWS'], ['Redshift'], ['GIS', 'Tableau', 'Alteryx', 'SQL', 'Pandas', 'numpy'])",0,,0,0,"Pasadena, CA "
Data Analyst,"(['Python'], ['Alteryx', 'Tableau', 'Power BI', 'SQL'])",0,,0,0,"New York, United States "
Data Analyst,"(['Python'], ['Azure Data Lake'], ['SQL Server'], ['SQL', 'Databricks', 'Synapse', 'GIT', 'Power BI', 'Tableau', 'DBT'])",0,,1,0,"Denver, CO "
Junior Data Analyst - 100% Remote,"(['Access', 'SQL Server'], ['SQL', 'Powerpoint'])",1,,0,0,"Norcross, GA"
Data Analyst,"(['Snowflake'], ['Looker', 'SQL', 'ETL'])",0,,0,1,"Austin, TX"
Data Analyst,,1,,0,0,"Alexandria, VA"
Data Analyst,"(['Python'], ['AWS', 'Microsoft Azure'], ['agile', 'SQL', 'Apache Spark'])",0,,0,0,United States 
Junior Data Analyst,"(['SQL'],)",0,,0,1,"Austin, TX"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Los Angeles, CA "
Data Analyst,"(['Python'], ['AWS'], ['MySQL'], ['Salesforce', 'SQL', 'Looker', 'Pandas'])",0,,0,1,"Texas, United States "
Associate Data Analyst,"(['Sigma'],)",0,71000.0,0,0,"Texas, United States"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Los Angeles, CA "
Data Analyst,"(['Python', 'R'], ['Snowflake'], ['Tableau', 'SQL'])",0,105000.0,0,0,"New York, NY"
Data Analyst,"(['R', 'Python'], ['Snowflake'], ['SQL', 'Tableau', 'Power BI', 'ETL'])",1,,0,0,United States
Data Analyst,"(['Python'], ['SQL'])",0,,0,1,"Tampa, FL "
Data Analyst,"(['Microsoft SQL Server'], ['SQL', 'SSRS', 'SSIS'])",0,,0,0,Greater Philadelphia 
Data Analyst,"(['R', 'python'], ['access'], ['SQL', 'Tableau', 'Power BI'])",0,60000.0,0,0,"New York, NY"
Data Analyst,,1,,0,0,"Houston, TX"
Data Analyst,"(['Python', 'R'], ['Agile', 'SQL', 'ETL'])",0,,0,0,"Blue Ash, OH"
Data Analyst,"(['R', 'Python'], ['AWS'], ['SQL', 'Google Sheets', 'Looker', 'Tableau', 'Power BI'])",0,55000.0,0,1,United States
Data Analyst - Bank Operations - Remote,"(['Python'], ['SQL', 'Power BI', 'Google Analytics', 'Sigma', 'Jira', 'Confluence', 'Looker', 'Tableau'])",0,,0,0,United States
Senior Observability Engineer,"(['Python'], ['AWS'], ['agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Staff Cloud Developer,"(['Python'], ['GCP', 'AWS'], ['Git', 'API', 'Docker', 'agile', 'Scrum'])",0,,0,1,"Canada, Moyen-Chari, Chad"
"Software Developer, Escalations","(['C++'], ['JIRA', 'Confluence', 'Git'])",1,,0,0,"Canada, Moyen-Chari, Chad"
Principal Performance Engineer,"(['Java'], ['PostgreSQL', 'Redis'])",0,,0,1,"Canada, Moyen-Chari, Chad"
Firmware Engineers and Archtiects,"(['C++', 'Matlab', 'Python'],)",0,,0,0,"Canada, Moyen-Chari, Chad"
Staff Software Developer,"(['JavaScript'], ['MongoDB', 'snowflake'], ['agile', 'Scrum', 'SQL'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Software Engineer, Java Database Experience","(['Java', 'Scala'], ['MongoDB'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Senior Software Engineer I - Market Research Solutions,"(['Python'], ['AWS'], ['agile'])",0,,0,1,"Canada, Moyen-Chari, Chad"
"Principal Software Developer - Awareness Training, Full Stack","(['Java', 'JavaScript'], ['Agile', 'scrum'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Senior Software Engineer, Java Database Experience","(['Java', 'Scala'], ['MongoDB'], ['agile'])",0,,0,1,"Canada, Moyen-Chari, Chad"
Data Analyst,"(['R', 'Python'], ['access'], ['SQL'])",0,110000.0,0,0,"Seattle, WA "
Data Analyst - Tiktok Ads,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA "
Data Analyst - Remote,"(['SQL', 'Power BI', 'Tableau', 'ETL'],)",0,95000.0,0,0,"Bellevue, WA"
Data Analyst II,"(['Python'], ['SQL', 'Tableau', 'pandas'])",0,133000.0,0,1,"Seattle, WA"
Data Analyst,"(['Python'], ['Snowflake'], ['SQL', 'Power BI', 'Tableau'])",0,97500.0,0,0,"Bellevue, WA"
Data Analyst,"(['SQL'],)",0,,0,0,Greater Seattle Area
Data Analyst,"(['Python'], ['SQL', 'sklearn'])",0,139000.0,0,0,"Seattle, WA "
"Data Analyst (Power BI, SQL)","(['SQL Server'], ['Power BI', 'SQL'])",0,,0,0,"Redmond, WA"
"operations and data analyst, AP Analysis - Seattle, WA","(['Oracle', 'Access'], ['SQL', 'Tableau', 'PowerPoint'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['Google Meet'], ['SQL', 'Tableau', 'Mixpanel', 'Github'])",0,,0,0,Greater Seattle Area
Data Analyst III,"(['Power BI', 'Tableau', 'PowerPoint'],)",0,,0,0,"Redmond, WA"
Marketing Data Analyst,"(['VBA'], ['Power BI', 'PowerPoint', 'Tableau'])",0,80000.0,0,0,"Seattle, WA "
Data Analyst - Tiktok Ads and Monetization Products,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA "
Data Analyst,"(['MATLAB'],)",0,,0,0,"Seattle, WA"
Data Analyst,"(['Python'], ['SQL'])",1,,0,0,"Seattle, WA"
Data Analyst,"(['Python', 'Java'], ['Microsoft Azure', 'Amazon Web Services'], ['Numpy', 'Scikit learn', 'Plotly', 'TensorFLow', 'Tableau'])",0,,0,0,"Seattle, WA"
Data Analyst – Commercial Construction,"(['Tableau'],)",0,105000.0,0,1,"Seattle, WA"
Onboarding Data Analyst,"(['SQL', 'Looker'],)",0,67500.0,0,0,"Seattle, WA "
"Data Analyst, TikTok Commerce Anti-Fraud Solutions","(['R', 'Python'], ['SQL', 'SAS'])",0,,0,0,"Seattle, WA "
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",1,,0,0,"Redmond, WA"
Sustainability Data Analyst,"(['mode'],)",0,,0,1,"Seattle, WA "
Data Engineer Internship – 2023 (US),"(['Python', 'Scala'], ['AWS'], ['SQL', 'ETL', 'QuickSight', 'Tableau'])",1,10000.0,0,0,"Seattle, WA"
Data Visualization Specialist,"(['DAX'], ['Snowflake'], ['SQL', 'Power BI'])",0,80000.0,0,0,"Seattle, WA"
Data Analyst II,"(['R'], ['Microsoft SQL Server', 'access'], ['Tableau', 'SQL'])",0,92500.0,0,0,"Seattle, WA"
Data Analyst 3 - Fraud Strategy - Remote,"(['R', 'Python'], ['SAS', 'SQL'])",0,89000.0,0,0,"Seattle, WA"
Data Analyst - Tiktok Ads and Monetization Products,"(['Python'], ['Hive'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA "
"Analyst, Analytics",,0,45000.0,0,0,"Seattle, WA"
data analyst,"(['Python'], ['AWS'], ['Tableau', 'SQL'])",0,,0,0,"Bellevue, WA"
Part-Time Data Entry Analyst - Solvas Financial Technology,"(['Microsoft Teams'],)",0,,0,0,"Seattle, WA"
Senior Data Analyst,"(['Python', 'R'], ['AWS'], ['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Seattle, WA"
DATA ANALYST 2,"(['SQL Server', 'access'], ['SSRS', 'SQL'])",0,,0,0,"Seattle, WA"
Lead Data Analyst,"(['Python'], ['SQL', 'Tableau', 'Power BI', 'API', 'ETL'])",0,,0,1,"Seattle, WA"
Data Analyst - Senior,"(['Python'], ['pandas', 'matplotlib'])",0,,0,0,"Tacoma, WA"
Data Labelling Analyst (Remote),,0,,1,0,"Seattle, WA "
Data Analyst,"(['Microsoft Azure', 'Azure Data Lake'], ['SQL Server'], ['Power BI', 'SSIS'])",1,,0,0,"Redmond, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,1,"Redmond, WA"
Digital Analytics Analyst (Hybrid),"(['agile', 'Google Analytics'],)",0,87000.0,0,0,"Seattle, WA"
UX Data Analyst,"(['Python', 'R'], ['SQL'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['Agile', 'SQL', 'ETL'],)",0,,0,1,"Bellevue, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"Redmond, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"Redmond, WA"
Data Analyst/Data Scientist,"(['access'], ['SQL', 'Google Sheets'])",1,120000.0,0,0,"Seattle, WA"
Marketing Data Analyst,"(['Google Analytics', 'Tableau', 'API', 'SQL'],)",0,,0,0,"Kent, WA "
Data Analyst,"(['access'],)",0,70000.0,0,0,"Kent, WA"
Healthcare Data Analyst,,0,,0,1,"Bellevue, WA"
Principal Data Analyst,"(['access', 'Snowflake'], ['SQL', 'Looker', 'dbt', 'Salesforce'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"Redmond, WA"
Healthcare Data Analyst II,"(['Python', 'VBA'], ['SQL', 'Power BI', 'Tableau'])",0,65000.0,0,0,"Mountlake Terrace, WA"
Language Data Analyst,"(['Python', 'R'], ['SQL', 'GitHub'])",0,,0,0,"Seattle, WA"
Principal Data Analyst,"(['access', 'Snowflake'], ['SQL', 'Looker', 'dbt', 'Salesforce'])",0,,0,0,"Seattle, WA"
Data Analyst,"(['R', 'Python'], ['SQL', 'Tableau', 'Looker'])",0,152500.0,0,1,"San Francisco, CA"
Data Analyst II,"(['Python'], ['access'], ['SQL', 'Tableau', 'pandas'])",0,133000.0,0,0,"San Francisco, CA"
Data Analyst,"(['Python'], ['MySQL', 'SQL Server'], ['SQL', 'Transformers', 'Tensorflow', 'PyTorch', 'spaCy', 'Tableau'])",0,,1,0,"San Francisco, CA"
Data Analyst,"(['access'], ['SQL'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['SQL', 'Mode'],)",0,,0,0,"San Francisco, CA"
Entry Level Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,1,"San Francisco, CA "
Marketing Data Analyst and Research,,0,102500.0,1,0,"San Francisco, CA"
Data Analyst,"(['Python'], ['git', 'Github', 'SQL', 'Pandas', 'Numpy'])",1,,0,0,"San Francisco, CA"
Data Analyst,"(['SQL'],)",0,,0,0,"San Francisco, CA"
"Data Analyst, Product","(['R', 'Python'], ['SQL', 'Tableau', 'Looker'])",0,152500.0,0,1,"San Francisco, CA"
Business Data Analyst,"(['Python', 'R'], ['AWS'], ['Snowflake'], ['PowerPoint', 'Tableau', 'Power BI', 'SQL', 'Google Analytics', 'Airflow', 'ETL'])",1,,0,0,"San Mateo, CA "
Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['MATLAB', 'Python'], ['SQL'])",0,,0,1,"San Francisco, CA"
Data Analyst,"(['R'], ['SQL', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java'], ['Microsoft Azure', 'Amazon Web Services'], ['Numpy', 'Scikit learn', 'Plotly', 'TensorFLow', 'Tableau'])",1,,0,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java', 'Scala', 'R'], ['Hive', 'CouchBase', 'HBase', 'Cassandra', 'MongoDB'], ['SQL', 'SPSS', 'SAS', 'Tableau', 'QlikView'])",0,,0,0,"San Francisco, CA"
Data Analyst,"(['Oracle'], ['SQL', 'PowerPoint'])",0,,0,0,"San Ramon, CA"
Data Analyst - Strategy & Biz Ops,"(['Python', 'R'], ['ETL', 'Power BI', 'Tableau', 'SQL'])",0,125500.0,0,1,"San Francisco, CA"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau'])",0,,0,0,"San Francisco, CA"
Data Analyst 2,"(['Access'], ['ETL', 'SAS', 'SQL'])",1,,0,0,"San Francisco, CA"
"Analyst, Analytics",,0,45000.0,1,0,"San Francisco, CA"
Data Analyst,"(['Python', 'Java', 'Scala', 'R'], ['MySQL'], ['Google Sheets', 'SQL', 'Tableau', 'Looker'])",0,87500.0,0,0,"New York, NY"
Data Analyst,"(['Python'], ['Snowflake'], ['SQL', 'SAP', 'Agile', 'Scrum', 'Alteryx', 'Airflow'])",0,,0,0,United States
